 Time         	  Amplitude
 Seconds	      G
 -2.9999999E-02	 -0.9372400    
 -2.9924998E-02	 -0.9372400    
 -2.9849999E-02	 -0.9372400    
 -2.9774999E-02	 -0.3954800    
 -2.9699998E-02	  0.1462900    
 -2.9624999E-02	  0.1462900    
 -2.9549999E-02	  0.1462900    
 -2.9474998E-02	  0.1462900    
 -2.9399998E-02	  0.1462900    
 -2.9324999E-02	  0.1462900    
 -2.9249998E-02	 -0.3954800    
 -2.9174998E-02	 -0.9372400    
 -2.9099999E-02	 -0.9372400    
 -2.9024998E-02	 -0.9372400    
 -2.8949998E-02	 -0.9372400    
 -2.8874999E-02	 -0.9372400    
 -2.8800000E-02	 -0.9372400    
 -2.8724998E-02	  0.1462900    
 -2.8649999E-02	  0.1462900    
 -2.8574999E-02	  0.1462900    
 -2.8499998E-02	  0.1462900    
 -2.8424999E-02	  0.1462900    
 -2.8349999E-02	  0.1462900    
 -2.8274998E-02	 -0.3954800    
 -2.8199999E-02	 -0.3954800    
 -2.8124999E-02	 -0.3954800    
 -2.8049998E-02	  0.1462900    
 -2.7974999E-02	  0.1462900    
 -2.7899999E-02	  0.1462900    
 -2.7824998E-02	  0.1462900    
 -2.7749998E-02	  0.1462900    
 -2.7674999E-02	  0.1462900    
 -2.7599998E-02	  0.1462900    
 -2.7524998E-02	  0.1462900    
 -2.7449999E-02	 -0.3954800    
 -2.7374998E-02	 -0.3954800    
 -2.7299998E-02	 -0.3954800    
 -2.7224999E-02	 -0.9372400    
 -2.7150000E-02	 -0.9372400    
 -2.7074998E-02	 -0.9372400    
 -2.6999999E-02	 -0.3954800    
 -2.6924999E-02	  0.1462900    
 -2.6849998E-02	  0.1462900    
 -2.6774999E-02	  0.1462900    
 -2.6699999E-02	  0.1462900    
 -2.6624998E-02	  0.1462900    
 -2.6549999E-02	  0.1462900    
 -2.6474999E-02	  0.1462900    
 -2.6399998E-02	  0.1462900    
 -2.6324999E-02	  0.1462900    
 -2.6249999E-02	  0.1462900    
 -2.6174998E-02	 -0.3954800    
 -2.6099999E-02	  0.1462900    
 -2.6024999E-02	  0.1462900    
 -2.5949998E-02	  0.1462900    
 -2.5874998E-02	  0.1462900    
 -2.5799999E-02	  0.6880500    
 -2.5725000E-02	  0.1462900    
 -2.5649998E-02	  0.1462900    
 -2.5574999E-02	  0.1462900    
 -2.5500000E-02	  0.1462900    
 -2.5424998E-02	  0.1462900    
 -2.5349999E-02	  0.1462900    
 -2.5274999E-02	 -0.3954800    
 -2.5199998E-02	 -0.3954800    
 -2.5124999E-02	 -0.9372400    
 -2.5049999E-02	 -0.9372400    
 -2.4974998E-02	 -0.9372400    
 -2.4899999E-02	 -0.3954800    
 -2.4824999E-02	 -0.3954800    
 -2.4749998E-02	  0.1462900    
 -2.4674999E-02	  0.1462900    
 -2.4599999E-02	  0.1462900    
 -2.4524998E-02	  0.1462900    
 -2.4449999E-02	  0.1462900    
 -2.4374999E-02	  0.1462900    
 -2.4300000E-02	  0.1462900    
 -2.4224998E-02	  0.1462900    
 -2.4149999E-02	  0.1462900    
 -2.4075000E-02	  0.1462900    
 -2.3999998E-02	  0.1462900    
 -2.3924999E-02	  0.1462900    
 -2.3850000E-02	  0.1462900    
 -2.3774998E-02	  0.1462900    
 -2.3699999E-02	  0.1462900    
 -2.3624999E-02	  0.1462900    
 -2.3549998E-02	  0.1462900    
 -2.3474999E-02	  0.1462900    
 -2.3399999E-02	 -0.3954800    
 -2.3324998E-02	 -0.9372400    
 -2.3249999E-02	 -0.9372400    
 -2.3174999E-02	 -0.9372400    
 -2.3099998E-02	 -0.9372400    
 -2.3024999E-02	 -0.9372400    
 -2.2949999E-02	 -0.9372400    
 -2.2875000E-02	 -0.9372400    
 -2.2799999E-02	 -0.3954800    
 -2.2724999E-02	  0.1462900    
 -2.2650000E-02	  0.1462900    
 -2.2574998E-02	  0.1462900    
 -2.2499999E-02	  0.1462900    
 -2.2425000E-02	  0.1462900    
 -2.2349998E-02	  0.1462900    
 -2.2274999E-02	 -0.3954800    
 -2.2200000E-02	 -0.9372400    
 -2.2124998E-02	 -0.9372400    
 -2.2049999E-02	 -0.3954800    
 -2.1974999E-02	  0.1462900    
 -2.1899998E-02	  0.1462900    
 -2.1824999E-02	  0.1462900    
 -2.1749999E-02	  0.1462900    
 -2.1674998E-02	  0.1462900    
 -2.1599999E-02	  0.1462900    
 -2.1524999E-02	  0.1462900    
 -2.1449998E-02	  0.1462900    
 -2.1374999E-02	 -0.3954800    
 -2.1299999E-02	 -0.9372400    
 -2.1225000E-02	 -0.9372400    
 -2.1149999E-02	 -0.9372400    
 -2.1074999E-02	 -0.3954800    
 -2.1000000E-02	 -0.3954800    
 -2.0924998E-02	  0.1462900    
 -2.0849999E-02	  0.1462900    
 -2.0775000E-02	  0.1462900    
 -2.0699998E-02	  0.1462900    
 -2.0624999E-02	  0.1462900    
 -2.0550000E-02	  0.1462900    
 -2.0474998E-02	  0.1462900    
 -2.0399999E-02	  0.1462900    
 -2.0324999E-02	  0.1462900    
 -2.0249998E-02	  0.1462900    
 -2.0174999E-02	  0.1462900    
 -2.0099999E-02	  0.1462900    
 -2.0024998E-02	  0.1462900    
 -1.9949999E-02	  0.1462900    
 -1.9874999E-02	  0.1462900    
 -1.9800000E-02	  0.1462900    
 -1.9724999E-02	  0.1462900    
 -1.9649999E-02	  0.1462900    
 -1.9575000E-02	  0.1462900    
 -1.9499999E-02	  0.1462900    
 -1.9424999E-02	  0.1462900    
 -1.9350000E-02	  0.1462900    
 -1.9274998E-02	  0.1462900    
 -1.9199999E-02	  0.1462900    
 -1.9125000E-02	  0.1462900    
 -1.9049998E-02	  0.1462900    
 -1.8974999E-02	  0.1462900    
 -1.8900000E-02	 -0.3954800    
 -1.8824998E-02	 -0.9372400    
 -1.8749999E-02	 -0.3954800    
 -1.8674999E-02	 -0.3954800    
 -1.8599998E-02	  0.1462900    
 -1.8524999E-02	  0.1462900    
 -1.8449999E-02	  0.1462900    
 -1.8375000E-02	  0.1462900    
 -1.8299999E-02	  0.1462900    
 -1.8224999E-02	  0.1462900    
 -1.8150000E-02	  0.1462900    
 -1.8074999E-02	  0.1462900    
 -1.7999999E-02	 -0.3954800    
 -1.7925000E-02	  0.1462900    
 -1.7849999E-02	 -0.3954800    
 -1.7774999E-02	  0.1462900    
 -1.7700000E-02	  0.1462900    
 -1.7624998E-02	  0.1462900    
 -1.7549999E-02	  0.1462900    
 -1.7475000E-02	 -0.3954800    
 -1.7399998E-02	  0.1462900    
 -1.7324999E-02	  0.1462900    
 -1.7250000E-02	  0.1462900    
 -1.7174998E-02	  0.1462900    
 -1.7099999E-02	  0.1462900    
 -1.7024999E-02	  0.1462900    
 -1.6950000E-02	  0.1462900    
 -1.6874999E-02	  0.1462900    
 -1.6799999E-02	 -0.3954800    
 -1.6725000E-02	 -0.3954800    
 -1.6649999E-02	 -0.3954800    
 -1.6574999E-02	 -0.3954800    
 -1.6500000E-02	 -0.3954800    
 -1.6424999E-02	 -0.3954800    
 -1.6349999E-02	  0.1462900    
 -1.6275000E-02	  0.1462900    
 -1.6199999E-02	  0.1462900    
 -1.6124999E-02	  0.1462900    
 -1.6050000E-02	  0.1462900    
 -1.5974998E-02	  0.1462900    
 -1.5899999E-02	  0.1462900    
 -1.5825000E-02	  0.1462900    
 -1.5749998E-02	  0.1462900    
 -1.5674999E-02	 -0.3954800    
 -1.5600000E-02	 -0.3954800    
 -1.5524999E-02	 -0.3954800    
 -1.5449999E-02	  0.1462900    
 -1.5374999E-02	  0.1462900    
 -1.5299999E-02	  0.1462900    
 -1.5224999E-02	  0.1462900    
 -1.5149999E-02	  0.1462900    
 -1.5074999E-02	 -0.3954800    
 -1.5000000E-02	 -0.3954800    
 -1.4924999E-02	 -0.3954800    
 -1.4849999E-02	 -0.3954800    
 -1.4775000E-02	 -0.3954800    
 -1.4699999E-02	  0.1462900    
 -1.4624999E-02	  0.1462900    
 -1.4549999E-02	  0.1462900    
 -1.4474999E-02	  0.1462900    
 -1.4400000E-02	  0.1462900    
 -1.4324999E-02	  0.1462900    
 -1.4249999E-02	  0.1462900    
 -1.4175000E-02	  0.1462900    
 -1.4099999E-02	  0.1462900    
 -1.4024999E-02	  0.1462900    
 -1.3950000E-02	  0.1462900    
 -1.3874999E-02	  0.1462900    
 -1.3799999E-02	  0.1462900    
 -1.3725000E-02	  0.1462900    
 -1.3649999E-02	  0.1462900    
 -1.3575000E-02	  0.1462900    
 -1.3499999E-02	 -0.9372400    
 -1.3424999E-02	 -0.9372400    
 -1.3350000E-02	 -0.9372400    
